Dataset,Detector,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR
CIFAR100,MSP,0.3446879982948303,0.7387643456459045,0.1332394927740097,0.954200029373169
CIFAR10,MSP,0.7552130222320557,0.9249559640884399,0.5007904767990112,0.6427000164985657
MNIST,MSP,0.7469885945320129,0.9293559789657593,0.5356277227401733,0.5734999775886536
FashionMNIST,MSP,0.8938151597976685,0.9766419529914856,0.7375562787055969,0.366100013256073
LSUNCrop,MSP,0.8558781147003174,0.8435631394386292,0.874040961265564,0.47130000591278076
LSUNResize,MSP,0.7412517666816711,0.6990770101547241,0.7733597755432129,0.6496000289916992
Textures,MSP,0.735490620136261,0.5750502943992615,0.8314751982688904,0.7139000296592712
TinyImageNetCrop,MSP,0.8632165789604187,0.8480734825134277,0.8823279738426208,0.4334999918937683
TinyImageNetResize,MSP,0.7398067712783813,0.7014964818954468,0.7678249478340149,0.6604999899864197
Places365,MSP,0.7391894459724426,0.8944535255432129,0.5008721947669983,0.6991000175476074
TinyImageNet,MSP,0.7641593813896179,0.9631267786026001,0.327412873506546,0.652400016784668
CIFAR100,Mahalanobis,0.4394117593765259,0.8034252524375916,0.14892253279685974,0.9549000263214111
CIFAR10,Mahalanobis,0.668224036693573,0.8863509297370911,0.30308088660240173,0.8327000141143799
MNIST,Mahalanobis,0.6706429123878479,0.8828712105751038,0.46492424607276917,0.6432999968528748
FashionMNIST,Mahalanobis,0.7115637063980103,0.8928001523017883,0.5281993746757507,0.5626000165939331
LSUNCrop,Mahalanobis,0.5993540287017822,0.5170679688453674,0.6599968671798706,0.7936999797821045
LSUNResize,Mahalanobis,0.9496878385543823,0.946739912033081,0.9535607695579529,0.2290000021457672
Textures,Mahalanobis,0.8990747928619385,0.8516989946365356,0.9371402263641357,0.4431999921798706
TinyImageNetCrop,Mahalanobis,0.6647244691848755,0.56561279296875,0.7336369752883911,0.6675000190734863
TinyImageNetResize,Mahalanobis,0.9378354549407959,0.9369289875030518,0.9412630796432495,0.295199990272522
Places365,Mahalanobis,0.6817940473556519,0.8641788959503174,0.38520145416259766,0.8217999935150146
TinyImageNet,Mahalanobis,0.7209429740905762,0.9516165852546692,0.2761940062046051,0.7200999855995178
CIFAR100,ODIN,0.37773212790489197,0.765926718711853,0.14233189821243286,0.9610000252723694
CIFAR10,ODIN,0.7050618529319763,0.8995634317398071,0.43031758069992065,0.6983000040054321
MNIST,ODIN,0.8765619993209839,0.9721691012382507,0.6961252093315125,0.41029998660087585
FashionMNIST,ODIN,0.9098693132400513,0.9796653389930725,0.770271897315979,0.31949999928474426
LSUNCrop,ODIN,0.869123101234436,0.8568527102470398,0.8879010081291199,0.42730000615119934
LSUNResize,ODIN,0.8023484349250793,0.7693346738815308,0.8210278749465942,0.5952000021934509
Textures,ODIN,0.7140733599662781,0.5707641243934631,0.8143491744995117,0.763700008392334
TinyImageNetCrop,ODIN,0.8688783645629883,0.8400682806968689,0.8901937007904053,0.40540000796318054
TinyImageNetResize,ODIN,0.8032610416412354,0.7785606980323792,0.8176712989807129,0.6037999987602234
Places365,ODIN,0.7072898149490356,0.8719252943992615,0.4649626612663269,0.7372999787330627
TinyImageNet,ODIN,0.7135337591171265,0.9504167437553406,0.2602498233318329,0.7297999858856201
